16801,5,4582316,1
16802,6,4410794,1
16803,0,4621446,1
16804,1,13002033,1
16805,2,11735973,1
16806,3,11653583,1
16807,4,12503207,1
16808,5,11048233,1
16809,6,5015175,1
16810,0,4963718,1
16811,1,12799359,1
16812,2,12236586,1
16813,3,11658316,1
16814,4,11856651,1
16815,5,11220493,1
16816,6,5125404,1
16817,0,5257898,1
16818,1,12586986,1
16819,2,12682442,1
16820,3,12382334,1
16821,4,11971698,1
16822,5,11921861,1
16823,6,5407343,1
16824,0,5395487,1
16825,1,14040925,1
16826,2,13189491,1
16827,3,12459614,1
16828,4,12079011,1
16829,5,11443299,1
16830,6,5789400,1
16831,0,5126087,1
16832,1,12446892,1
16833,2,12794183,1
16834,3,11848028,1
16835,4,12241353,1
16836,5,10951894,1
16837,6,4836718,1
16838,0,4719954,1
16839,1,13059131,1
16840,2,13731406,1
16841,3,12308845,1
16842,4,12351143,1
16843,5,11207585,1
16844,6,5296156,1
16845,0,5122829,1
16846,1,10906430,1
16847,2,12245787,1
16848,3,11618731,1
16849,4,11410307,1
16850,5,11051464,1
16851,6,5448977,1
16852,0,5209983,1
16853,1,13206439,1
16854,2,12636754,1
16855,3,11623751,1
16856,4,11359180,1
16857,5,10678400,1
16858,6,4974102,1
16859,0,5003688,1
16860,1,12429612,1
16861,2,12115774,1
16862,3,11652345,1
16863,4,11204391,1
16864,5,10172568,1
16865,6,5838055,1
16866,0,4838547,1
16867,1,12635818,1
16868,2,11337265,1
16869,3,11445637,1
16870,4,10847280,1
16871,5,9694968,1
16872,6,4717646,1
16873,0,4683778,1
16874,1,12017332,1
16875,2,10347217,1
16876,3,10145289,1
16877,4,8936100,1
16878,5,9116050,1
16879,6,4016354,1
16880,0,4037643,1
16881,1,10443089,1
16882,2,10137076,1
16883,3,9422044,1
16884,4,8200651,1
16885,5,5219413,1
16886,6,3829009,1
16887,0,3556267,1
16888,1,7954991,1
16889,2,9032171,1
16890,3,8630124,1
16891,4,10071625,1
16892,5,8609401,1
16893,6,3574696,1
16894,0,3988538,1
16895,1,11068404,1
16896,2,9876732,1
16897,3,10396412,1
16898,4,9607958,1
16899,5,8551410,1
16900,6,3959315,1
16901,0,3912168,1
16902,1,10646014,1
16903,2,10035929,1
16904,3,8924281,1
16905,4,8244407,1
16906,5,7893778,1
16907,6,3521748,1
16908,0,3676416,1
16909,1,9682464,1
16910,2,8396031,1
16911,3,8018234,1
16912,4,7952231,1
16913,5,7636904,1
16914,6,3481895,1
16915,0,3510410,1
16916,1,8334427,1
16917,2,8063597,1
16918,3,7371715,1
16919,4,8249699,1
16920,5,6939588,1
16921,6,3423187,1
16922,0,3283826,1
16923,1,6711793,1
16924,2,6343986,1
16925,3,7791231,1
16926,4,6680434,1
16927,5,7661973,1
16928,6,3527031,1
16929,0,2984675,1
16930,1,8039725,1
16931,2,5585268,1
16932,3,7773305,1
16933,4,8353401,1
16934,5,8740559,1
16935,6,3409729,1
16936,0,3104563,1
16937,1,7973681,1
16938,2,8615961,1
16939,3,8172443,1
16940,4,8088481,1
16941,5,6933681,1
16942,6,3380991,1
16943,0,3324452,1
16944,1,8757907,1
16945,2,8047092,1
16946,3,7460954,1
16947,4,7841084,1
16948,5,6705974,1
16949,6,2247447,1
16950,0,2465349,1
16951,1,4390195,1
16952,2,8517980,1
16953,3,8354697,1
16954,4,6609958,1
16955,5,6172565,1
16956,6,2526261,1
16957,0,2747917,1
16958,1,7182024,1
16959,2,6239278,1
16960,3,7902966,1
16961,4,7021049,1
16962,5,7013581,1
16963,6,3376089,1
16964,0,3181465,1
16965,1,8227827,1
16966,2,8200800,1
16967,3,8786833,1
16968,4,8059159,1
16969,5,6085306,1
16970,6,3217005,1
16971,0,3215079,1
16972,1,7745157,1
16973,2,7844823,1
16974,3,7546693,1
16975,4,10746246,1
16976,5,20670685,0
16977,6,7601325,1
16978,0,6562915,1
16979,1,14298683,1
16980,2,10332538,1
16981,3,10563086,1
16982,4,9623346,1
16983,5,8121326,1
16984,6,3522309,1
16985,0,3412948,1
16986,1,8100442,1
16987,2,10003119,1
16988,3,8874659,1
16989,4,8564793,1
16990,5,8443740,1
16991,6,3420630,1
16992,0,3207511,1
16993,1,9421911,1
16994,2,8320076,1
16995,3,7635869,1
16996,4,7502492,1
16997,5,7223536,1
16998,6,2686653,1
16999,0,2825583,1
17000,1,8565543,1
17001,2,8459113,1
17002,3,20723895,0
17003,4,7330644,1
17004,5,6780214,1
17005,6,2741246,1
17006,0,2707515,1
17007,1,8011243,1
17008,2,7749315,1
17009,3,7504895,1
17010,4,7387899,1
17011,5,6812035,1
17012,6,2839332,1
17013,0,2567970,1
17014,1,7527936,1
17015,2,7392513,1
17016,3,7800885,1
17017,4,8066194,1
17018,5,7346164,1
17019,6,3042998,1
17020,0,3014965,1
17021,1,8360287,1
17022,2,7895841,1
17023,3,8101563,1
17024,4,7516383,1
17025,5,6362489,1
17026,6,2706094,1
17027,0,2527319,1
17028,1,7475577,1
17029,2,7068741,1
