17024,4,7516383
17067,5,14254803
17162,2,14
17043,2,7754761
17107,3,5
16967,3,8786833
16983,5,8121326
17017,4,8066194
17153,0,4
17113,2,2
16987,2,10003119
17091,1,7395111
17143,4,9
17060,5,7237612
17069,0,2704219
17086,3,5977461
17122,4,1
17154,1,16
17000,1,8565543
17005,6,2741247
17029,2,7068741
16966,2,8200800
16984,6,3522309
17036,2,7461137
17077,1,14637431
17023,3,8101563
17149,3,49
17138,6,3
17045,4,7359750
17052,4,6732098
17104,0,1577382
16964,0,3181465
16968,4,8059159
17022,2,7895841
17035,1,8053690
17110,6,1
17050,2,7604297
17065,3,6949871
16962,5,7013581
16994,2,8320076
17015,2,7392515
17020,0,3014965
17080,4,16915263
17087,4,6847721
17137,5,23
16998,6,2686653
17040,6,2821132
17092,2,6556312
17102,5,7133988
17111,0,4
16982,4,9623346
16985,0,3412948
17011,5,6812035
17044,3,7524710
17081,5,13582024
17100,3,6070073
17129,4,60
17132,0,11
16971,0,3215081
17042,1,6119272
17048,0,2816387
17062,0,2719835
17150,4,377
17006,0,2707519
17033,6,2958088
17037,3,7050735
17051,3,7485276
17095,5,5881334
17085,2,1051240
16961,4,7021049
17027,0,2527319
17054,6,3599884
17157,4,24
17158,5,30
17108,4,19
16977,6,7601325
16991,6,3420630
17083,0,4617660
17002,3,8723895
17038,4,7663952
17056,1,7750994
17130,5,5
17009,3,7504895
17055,0,2874469
17072,3,16944364
17074,5,15023107
17128,3,44
17008,2,7749315
17034,0,2710262
17004,5,6780231
17007,1,8011243
17031,4,6618247
17134,2,4
17046,5,6637035
17057,2,6872512
16979,1,14298683
17018,5,7346164
17019,6,3042998
17059,4,6429234
17141,2,17
17125,0,32
16958,1,7182024
16960,3,7902966
17078,2,15441364
17101,4,6174216
17140,1,4
17156,3,1
17146,0,1
17151,5,2
17014,1,7527936
17070,1,7839988
16970,6,3217005
17013,0,2567970
17061,6,2878903
16993,1,9421911
16997,5,7223536
17025,5,6362489
17120,2,68
16956,6,2526261
16963,6,3376089
16990,5,8443740
17003,4,7330644
17098,1,6758094
17124,6,66
17105,1,1
17136,4,34
16954,4,6609958
17041,0,2942883
16969,5,6085306
17075,6,5220015
17115,4,1
17010,4,7387899
17016,3,7800885
17030,3,7330585
17088,5,6327176
17094,4,6636880
17097,0,2693275
17161,1,5
16973,2,7844824
17012,6,2839332
17063,1,7505993
17047,6,2856539
16953,3,8354697
16976,5,20670686
16999,0,2825583
17144,5,1
17073,4,15778973
17093,3,6633091
16965,1,8227827
16972,1,7745157
17049,1,6253422
16978,0,6562915
17032,5,6827733
17116,5,5
17160,0,2
17096,6,2617043
17099,2,6550352
17106,2,1
17068,6,4291371
17166,6,7
17028,1,7475578
17089,6,2600295
16957,0,2747917
17053,5,6940007
17079,3,14746836
16989,4,8564793
17103,6,2695894
17145,6,42
17001,2,8459113
17135,3,1
16974,3,7546707
16975,4,10746248
17039,5,7307410
17026,6,2706094
17076,0,5001768
17082,6,5831099
17090,0,2684112
17133,1,27
16988,3,8874659
17064,2,6775520
17071,2,10146396
17112,1,2
16996,4,7502492
17126,1,2
16959,2,6239278
16992,0,3207514
17084,1,1427291
17121,3,2
16955,5,6172565
16995,3,7635869
17058,3,6905463
17127,2,34
16980,2,10332538
17021,1,8360287
16981,3,10563086
16986,1,8100442
17066,4,11410897
